Наименование;"Наименование артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Интернет-магазин";"В наличии @Москва";"В наличии @Питер";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Дополнительные параметры";"Длина доски";"Размер обуви";Цвет;"Размер одежды";"Формат кадра";"Тип видоискателя";"Тип карт памяти";Байонет;"Тип матрицы";"Баланс белого";"Число мегапикселов матрицы";"Тип штатива";"Максимальная высота съемки";"Тип головки";"Тип объектива";"Фокусное расстояние";"Совместимые фотоаппараты";"Тип вспышки";Крепление;"Скорость съемки (кадр/сек)";Кроп-фактор;"Форматы изображения";Интерфейсы;"Стиль катания";"Уровень жесткости";"Минимальная высота руля (от платформы)";"Размеры в сложенном виде";"Колесная база";"Диаметр колеса";Тормоза;Руль;Ручки;Рама;Колеса;Платформа;"Максимальная высота руля (от платформы)";"Ширина платформы";"Длина платформы";"Максимальная нагрузка";"Вес (без заднего тормоза и аксессуаров)";"Тип экрана";Диагональ;"Разрешение экрана";HD-формат;"Поддержка 3D";"Вход HDMI";"Интерфейс USB";"Доступ в интернет (Smart TV)";DVB-T2;"Поддержка HDTV";"Возможность крепления на стену";"Формат экрана";Стереозвук;Вес;"Частота обновления ";"Интерфейс Ethernet ";"Поддержка Wi-Fi";Bluetooth;"Поддержка Skype";"Мощность звука";LED-подсветка;"Угол обзора";"Прогрессивная развертка";"Поддерживаемые форматы";Размеры;Производитель;"Вес велосипеда";MP3-проигрыватель;"Емкость аккумулятора";Процессор;ГЛОНАСС;GPS-модуль;Wi-Fi;"Поддержка 3G (UMTS)";"Слот для карты памяти";"Объем встроенной памяти";"Сенсорный экран";"Диагональ экрана";"Количество SIM-карт";"Тип корпуса";Платформа;"Тип устройства";Марка/Модель;Код;"Операционная система";"Тип SIM-карты";"Дополнительная информация";"Модельный год";"Количество скоростей";"Передний тормоз";"Задний тормоз";Высота;"Размер (детский)";"Материал рамы";"Конструкция вилки";"Ход вилки ";Женский;Складной;Амортизация;"Тип дорожного велосипеда";"Тип MTB";"Область применения";"Цвет оправы";"Материал обуви";"Цвет рамы";"Размер рамы";"Оригинальный номер";"Код производителя";"Страна происхождения";Ед.;"Цвет линзы";Пол;"Материал оправы";Затемнение;"Флексы на дужках";Поляризация;"Вид наушников";"Тип подключения";Микрофон;"Система активного шумоподавления";"Тип акустического оформления";"Регулятор громкости";"Поддержка iPhone";"Тип наушников";"Тип крепления";"Чехол/футляр в комплекте";"Разъем наушников";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Burton Root";144;root-144;RUB;18050;1;19400;0;21;4;9;8;;;;1;Сноуборды;{экстрим,борд,доска};;;;;root;;{144,148,152};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/31/00/31/images/245/245.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/31/00/31/images/246/246.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/31/00/31/images/247/247.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Root";148;root-148;RUB;18210;1;19560;0;15;1;7;7;;;;1;Сноуборды;;;;;;root;;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Root";152;root-152;RUB;18450;1;19800;0;17;2;3;12;;;;1;Сноуборды;;;;;;root;;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Super Hero";145;super-hero-145;RUB;14160;1;15360;0;13;4;5;4;;;;1;Сноуборды;{экстрим,борд,доска};;;;;super-hero;;{145,148,151,154,157,151W,154W,158W};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/30/00/30/images/242/242.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/30/00/30/images/243/243.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/30/00/30/images/244/244.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Super Hero";148;super-hero-148;RUB;14350;1;15550;0;14;4;2;8;;;;1;Сноуборды;;;;;;super-hero;;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Super Hero";151;super-hero-151;RUB;14570;1;15770;0;11;0;1;10;;;;1;Сноуборды;;;;;;super-hero;;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Super Hero";154;super-hero-154;RUB;14750;1;15950;11999;4;1;0;3;;;;1;Сноуборды;;;;;;super-hero;;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton The White Collection Standard";145;the-white-collection-standard-145;RUB;9420;1;10350;0;11;0;5;6;;;;1;Сноуборды;{экстрим,борд,доска};;;;;the-white-collection-standard;;{145,150,154,157,159,156W,158W};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/29/00/29/images/239/239.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/29/00/29/images/240/240.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/29/00/29/images/241/241.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton The White Collection Standard";150;the-white-collection-standard-150;RUB;9620;1;10550;0;5;4;1;0;;;;1;Сноуборды;;;;;;the-white-collection-standard;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton The White Collection Standard";154;the-white-collection-standard-154;RUB;9820;1;10750;0;11;6;2;3;;;;1;Сноуборды;;;;;;the-white-collection-standard;;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton The White Collection Standard";157;the-white-collection-standard-157;RUB;10050;1;10970;0;11;5;4;2;;;;1;Сноуборды;;;;;;the-white-collection-standard;;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton The White Collection Standard";159;the-white-collection-standard-159;RUB;10250;1;11170;0;52;45;6;1;;;;1;Сноуборды;;;;;;the-white-collection-standard;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Whammy Bar";150;whammy-bar-150;RUB;14430;1;15430;0;1;1;0;0;;;bestseller;1;Сноуборды;{экстрим,борд,доска};;;;;whammy-bar;;{150,153,155,157};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/28/00/28/images/235/235.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/28/00/28/images/236/236.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/28/00/28/images/237/237.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/28/00/28/images/238/238.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Whammy Bar";153;whammy-bar-153;RUB;14650;1;15650;0;4;3;0;1;;;bestseller;1;Сноуборды;;;;;;whammy-bar;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Whammy Bar";155;whammy-bar-155;RUB;14850;1;15850;0;6;1;3;2;;;bestseller;1;Сноуборды;;;;;;whammy-bar;;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burton Whammy Bar";157;whammy-bar-157;RUB;15030;1;16030;11999;4;0;0;4;;;bestseller;1;Сноуборды;;;;;;whammy-bar;;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Сноуборды;;;;;;;;;;;;;;;1;;;;;;;snowboards;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Ботинки;;;;;;;;;;;;;;;1;;;;;;;boots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hail;"зеленые, размер 8,5";hail-8.5-green;RUB;9540;1;9700;0;9;0;3;6;;;;1;Ботинки;{экстрим,обувь};;;;;hail;;;{7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13};{синий,зеленый,черный,65280,5,,6};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/46/00/46/images/25/25.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/46/00/46/images/79/79.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/46/00/46/images/80/80.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hail;"зеленые, размер 10";hail-10-green;RUB;9620;1;9870;0;14;4;1;9;;;;1;Ботинки;;;;;;hail;;;10;зеленый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hail;"зеленые, размер 11";hail-11-green;RUB;9690;1;9940;0;13;5;6;2;;;;1;Ботинки;;;;;;hail;;;11;зеленый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hail;"синие, размер 10,5";hail-10.5-blue;RUB;9650;1;9920;0;8;1;2;5;;;;1;Ботинки;;;;;;hail;;;10.5;синий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hail;"черные, размер 13";hail-13-black;RUB;9730;1;10000;0;16;4;6;6;;;;1;Ботинки;;;;;;hail;;;13;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jet;"белые, размер 6";jet-6-white;RUB;5050;1;5120;0;10;0;7;3;;;;1;Ботинки;{экстрим,обувь};;;;;jet;;;{6,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13};{белый,черный,16777215,6,};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/47/00/47/images/26/26.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/47/00/47/images/78/78.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jet;"черные, размер 7,5";jet-7.5-black;RUB;5080;1;5150;0;7;4;0;3;;;;1;Ботинки;;;;;;jet;;;7.5;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jet;"белые, размер 8";jet-8-white;RUB;5080;1;5150;3999;;;1;2;;;;1;Ботинки;;;;;;jet;;;8;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jet;"белые, размер 10";jet-10-white;RUB;5120;1;5190;0;14;8;0;6;;;;1;Ботинки;;;;;;jet;;;10;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jet;"черные, размер 10";jet-10-black;RUB;5120;1;5190;0;7;7;0;0;;;;1;Ботинки;;;;;;jet;;;10;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jet;"белые, размер 12";jet-12-white;RUB;5350;1;5420;0;2;2;0;0;;;;1;Ботинки;;;;;;jet;;;12;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jet;"черные, размер 12";jet-12-black;RUB;5350;1;5420;0;;;5;2;;;;1;Ботинки;;;;;;jet;;;12;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rampant;"коричневые, размер 10";rampant-10-brown;RUB;6650;1;7670;0;21;0;3;18;;;;1;Ботинки;{экстрим,обувь};;;;;rampant;;;{7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15};{коричневый,серый,черный,бежевый,9849600,3,,6};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/44/00/44/images/81/81.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/44/00/44/images/82/82.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/44/00/44/images/83/83.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/44/00/44/images/84/84.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rampant;"коричневые, размер 11,5";rampant-11.5-brown;RUB;6650;1;7670;0;3;1;1;1;;;;1;Ботинки;;;;;;rampant;;;11.5;бежевый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rampant;"бежевые, размер 10";rampant-10-beige;RUB;6650;1;7670;0;10;1;7;2;;;;1;Ботинки;;;;;;rampant;;;10;бежевый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rampant;"черные, размер 12";rampant-12-black;RUB;6650;1;7670;0;14;4;5;5;;;;1;Ботинки;;;;;;rampant;;;12;коричневый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rampant;"серые, размер 15";rampant-15-gray;RUB;6850;1;7870;0;26;7;9;10;;;;1;Ботинки;;;;;;rampant;;;15;серый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rover Limited";"размер 9,5";rover-limited-9.5;RUB;15000;1;16200;0;7;0;1;6;;;;1;Ботинки;{экстрим,обувь};;;;;rover-limited;;;{7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13};{коричневый,9849600,3,,6};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/45/00/45/images/24/24.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rover Limited";"размер 11";rover-limited-11;RUB;15010;1;16210;0;17;4;9;4;;;;1;Ботинки;;;;;;rover-limited;;;11.5;коричневый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rover Limited";"размер 13";rover-limited-13;RUB;15070;1;16240;0;114;96;13;5;;;;1;Ботинки;;;;;;rover-limited;;;13;коричневый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Крепления;;;;;;;;;;;;;;;1;;;;;;;bindings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freestyle;зеленые;freestyle-green;RUB;4375;1;5275;0;32;5;12;15;;;;1;"Крепления для сноубордов";экстрим;;;;;freestyle;;;;{зеленый,черный,65280,5,,6};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/276/276.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/277/277.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/278/278.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/279/279.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/280/280.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/281/281.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/282/282.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/51/00/51/images/283/283.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freestyle;черные;freestyle-black;RUB;4425;1;5325;0;32;7;23;2;;;;1;"Крепления для сноубордов";;;;;;freestyle;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Genesis EST";белые;genesis-est-white;RUB;11190;1;12690;8999;19;3;10;6;;;lowprice;1;"Крепления для сноубордов";экстрим;;;;;genesis-est;;;;{белый,черный,16777215,6,};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/248/248.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/249/249.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/250/250.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/251/251.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/252/252.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/253/253.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/254/254.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/48/00/48/images/255/255.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
